[2024-04-01 10:11:13] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=1 , status:204 , tc:0ms
[2024-04-01 10:11:13] [error] getStadiumBooked err = [<nil>]

[2024-04-01 10:11:13] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=1 , status:200 , tc:3ms
[2024-04-01 11:01:57] [info] Gin log method:POST , path:/admin/register , status:404 , tc:0ms
[2024-04-01 11:02:47] [info] Gin log method:POST , path:/admin/register , status:200 , tc:0ms
[2024-04-01 11:03:44] [info] Gin log method:POST , path:/admin/register , status:200 , tc:8ms
[2024-04-01 11:14:52] [info] Gin log method:POST , path:/admin/login , status:200 , tc:1ms
[2024-04-01 11:17:08] [info] Gin log method:POST , path:/admin/login , status:200 , tc:1ms
[2024-04-01 11:22:36] [info] Gin log method:POST , path:/admin/login , status:200 , tc:1ms
[2024-04-01 11:23:25] [info] Gin log method:POST , path:/admin/login , status:200 , tc:1ms
[2024-04-01 11:31:57] [info] Gin log method:POST , path:/admin/login , status:200 , tc:2ms
[2024-04-01 11:34:26] [info] Gin log method:POST , path:/admin/login , status:200 , tc:2ms
[2024-04-01 16:58:26] [info] Gin log method:POST , path:/user/login , status:200 , tc:3ms
[2024-04-01 17:00:03] [info] Gin log method:GET , path:/api/record/recordlist , status:200 , tc:1ms
[2024-04-01 17:04:31] [info] Gin log method:POST , path:/user/login , status:200 , tc:13ms
[2024-04-01 17:05:34] [info] Gin log method:OPTIONS , path:/api/record/recordlist , status:204 , tc:0ms
[2024-04-01 17:05:34] [info] Gin log method:GET , path:/api/record/recordlist , status:200 , tc:1ms
[2024-04-01 17:15:22] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-01 17:20:58] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-01 17:22:07] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-01 17:22:07] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-01 17:22:11] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-01 17:23:34] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-01 17:23:34] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-01 17:23:48] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-01 17:28:07] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 17:28:07] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:1ms
[2024-04-01 17:28:24] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 17:28:53] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 17:28:53] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:8ms
[2024-04-01 17:29:06] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 17:29:44] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 17:29:44] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:1ms
[2024-04-01 17:29:57] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 18:35:58] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 18:35:58] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:1ms
[2024-04-01 18:36:40] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 18:36:53] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 18:36:53] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:1ms
[2024-04-01 18:36:55] [info] Gin log method:POST , path:/api/record/cancelorder , status:401 , tc:0ms
[2024-04-01 18:37:04] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 18:37:37] [info] Gin log method:POST , path:/user/login , status:200 , tc:1ms
[2024-04-01 18:37:57] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 18:37:57] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:1ms
[2024-04-01 18:38:02] [info] Gin log method:OPTIONS , path:/api/record/cancelorder , status:204 , tc:0ms
[2024-04-01 18:38:02] [error] [record not found]
[2024-04-01 18:38:02] [info] Gin log method:POST , path:/api/record/cancelorder , status:200 , tc:13ms
[2024-04-01 18:38:33] [info] Gin log method:OPTIONS , path:/api/record/cancelorder , status:204 , tc:0ms
[2024-04-01 18:38:33] [error] [record not found]
[2024-04-01 18:38:33] [info] Gin log method:POST , path:/api/record/cancelorder , status:200 , tc:15ms
[2024-04-01 19:02:05] [info] Gin log method:OPTIONS , path:/api/record/cancelorder , status:204 , tc:0ms
[2024-04-01 19:02:05] [info] Gin log method:POST , path:/api/record/cancelorder , status:200 , tc:12ms
[2024-04-01 19:03:46] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:03:47] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
