[2024-04-03 00:01:33] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:01:33] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:3ms
[2024-04-03 00:01:34] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:01:35] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:01:35] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:01:35] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:8ms
[2024-04-03 00:01:39] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:01:39] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:01:43] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:01:43] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-03 00:05:13] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:05:13] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-03 00:05:19] [info] Gin log method:OPTIONS , path:/user/userinfo , status:204 , tc:0ms
[2024-04-03 00:05:19] [info] Gin log method:GET , path:/user/userinfo , status:200 , tc:2ms
[2024-04-03 00:05:21] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:05:21] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-03 00:05:25] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-03 00:06:07] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:06:07] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-03 00:06:24] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:06:24] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:401 , tc:0ms
[2024-04-03 00:06:30] [info] Gin log method:OPTIONS , path:/user/login , status:204 , tc:0ms
[2024-04-03 00:06:30] [info] Gin log method:POST , path:/user/login , status:200 , tc:1ms
[2024-04-03 00:06:31] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:06:31] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-03 00:07:39] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:07:39] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-03 00:07:41] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:07:41] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-03 00:07:43] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:07:44] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:07:45] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-03 00:10:37] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-03 00:10:37] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:3ms
