[2024-04-11 16:52:00] [error] [record not found]
[2024-04-11 16:52:00] [info] Gin log method:POST , path:/admin/login , status:200 , tc:4ms
[2024-04-11 16:52:10] [info] Gin log method:POST , path:/admin/login , status:200 , tc:2ms
[2024-04-11 16:52:12] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-11 16:52:12] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-11 16:52:15] [info] Gin log method:OPTIONS , path:/admin/adminlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-11 16:52:15] [info] Gin log method:GET , path:/admin/adminlist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-11 16:52:17] [info] Gin log method:OPTIONS , path:/api/record/admin/outdated/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-11 16:52:17] [info] Gin log method:GET , path:/api/record/admin/outdated/recordlist?page=1&perPage=10 , status:200 , tc:3ms
[2024-04-11 16:52:18] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-11 16:52:18] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-11 16:52:20] [info] Gin log method:GET , path:/admin/adminlist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-11 16:52:21] [info] Gin log method:GET , path:/api/record/admin/outdated/recordlist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-11 16:52:26] [info] Gin log method:OPTIONS , path:/api/record/admin/outdated/recordlist?orderBy=Stadium&orderDir=asc&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-11 16:52:26] [info] Gin log method:GET , path:/api/record/admin/outdated/recordlist?orderBy=Stadium&orderDir=asc&page=1&perPage=10 , status:200 , tc:3ms
[2024-04-11 16:52:27] [info] Gin log method:OPTIONS , path:/api/record/admin/outdated/recordlist?orderBy=Stadium&orderDir=desc&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-11 16:52:27] [info] Gin log method:GET , path:/api/record/admin/outdated/recordlist?orderBy=Stadium&orderDir=desc&page=1&perPage=10 , status:200 , tc:2ms
[2024-04-11 16:52:28] [info] Gin log method:OPTIONS , path:/api/record/admin/outdated/recordlist?orderBy=Date&orderDir=asc&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-11 16:52:28] [info] Gin log method:GET , path:/api/record/admin/outdated/recordlist?orderBy=Date&orderDir=asc&page=1&perPage=10 , status:200 , tc:3ms
[2024-04-11 16:52:30] [info] Gin log method:OPTIONS , path:/api/record/admin/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-11 16:52:30] [info] Gin log method:GET , path:/api/record/admin/recordlist?page=1&perPage=10 , status:200 , tc:2ms
