[2024-04-15 12:40:24] [info] Gin log method:POST , path:/user/login , status:200 , tc:1ms
[2024-04-15 12:52:10] [info] Gin log method:POST , path:/api/game/creategame , status:200 , tc:0ms
[2024-04-15 12:54:06] [info] Gin log method:POST , path:/api/game/creategame , status:200 , tc:0ms
[2024-04-15 13:06:16] [info] Gin log method:POST , path:/api/game/creategame , status:200 , tc:20ms
[2024-04-15 13:12:04] [info] Gin log method:POST , path:/user/login , status:200 , tc:8ms
[2024-04-15 13:12:21] [info] Gin log method:POST , path:/api/game/creategame , status:200 , tc:8ms
[2024-04-15 13:13:35] [info] Gin log method:POST , path:/api/game/creategame , status:200 , tc:9ms
[2024-04-15 15:59:23] [info] Gin log method:POST , path:/user/login , status:200 , tc:40ms
[2024-04-15 15:59:34] [info] Gin log method:OPTIONS , path:/api/game/gamelist , status:204 , tc:0ms
[2024-04-15 15:59:38] [info] Gin log method:OPTIONS , path:/api/game/gamelist , status:204 , tc:0ms
[2024-04-15 16:02:22] [info] Gin log method:OPTIONS , path:/api/game/gamelist , status:204 , tc:0ms
[2024-04-15 16:02:22] [info] Gin log method:GET , path:/api/game/gamelist , status:200 , tc:0ms
[2024-04-15 16:07:22] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPAge=10 , status:204 , tc:0ms
[2024-04-15 16:07:22] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPAge=10 , status:200 , tc:0ms
[2024-04-15 16:07:39] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-15 16:07:39] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:6ms
[2024-04-15 16:09:17] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10&$$id=0952bb2972d5 , status:204 , tc:0ms
[2024-04-15 16:29:35] [info] Gin log method:POST , path:/user/login , status:200 , tc:3ms
[2024-04-15 16:59:55] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
