[2024-04-16 00:06:53] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 00:06:53] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:4ms
[2024-04-16 00:09:56] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:401 , tc:0ms
[2024-04-16 00:10:18] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=&page=1&perPage=10&$$id=0b4fc85e9048 , status:401 , tc:0ms
[2024-04-16 00:23:12] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:401 , tc:0ms
[2024-04-16 00:23:24] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:401 , tc:0ms
[2024-04-16 00:25:45] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 00:25:45] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:401 , tc:0ms
[2024-04-16 00:25:51] [info] Gin log method:OPTIONS , path:/user/login , status:204 , tc:0ms
[2024-04-16 00:25:51] [info] Gin log method:POST , path:/user/login , status:200 , tc:7ms
[2024-04-16 00:25:51] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 00:25:51] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-16 00:25:55] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 00:25:55] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-16 00:25:58] [info] Gin log method:OPTIONS , path:/api/game/outdated/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 00:25:58] [info] Gin log method:GET , path:/api/game/outdated/gamelist?page=1&perPage=10 , status:200 , tc:3ms
[2024-04-16 00:25:59] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 00:25:59] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-16 00:26:00] [info] Gin log method:GET , path:/api/game/outdated/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-16 00:26:01] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 00:26:01] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-16 00:26:02] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-16 00:26:02] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-16 00:26:03] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-16 00:26:11] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=1&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 00:26:11] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=1&page=1&perPage=10 , status:200 , tc:26ms
[2024-04-16 00:26:22] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=3&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 00:26:22] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=3&page=1&perPage=10 , status:200 , tc:15ms
[2024-04-16 00:26:27] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=1&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 00:26:27] [error] getStadiumBooked err = %!s(<nil>)

[2024-04-16 00:26:27] [error] getStadiumBooked err = %!s(<nil>)

[2024-04-16 00:26:27] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=1&page=1&perPage=10 , status:200 , tc:1ms
[2024-04-16 00:26:33] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=3&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 00:26:33] [error] getStadiumBooked err = %!s(<nil>)

[2024-04-16 00:26:33] [error] getStadiumBooked err = %!s(<nil>)

[2024-04-16 00:26:33] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=3&page=1&perPage=10 , status:200 , tc:0ms
[2024-04-16 00:27:14] [info] Gin log method:OPTIONS , path:/api/game/creategame , status:204 , tc:0ms
[2024-04-16 00:27:14] [info] Gin log method:POST , path:/api/game/creategame , status:200 , tc:22ms
[2024-04-16 00:27:30] [info] Gin log method:OPTIONS , path:/api/game/creategame , status:204 , tc:0ms
[2024-04-16 00:27:30] [info] Gin log method:POST , path:/api/game/creategame , status:200 , tc:5ms
[2024-04-16 00:27:38] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=3&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 00:27:38] [error] getStadiumBooked err = %!s(<nil>)

[2024-04-16 00:27:38] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=3&page=1&perPage=10 , status:200 , tc:2ms
[2024-04-16 00:27:40] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 00:27:40] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-16 00:28:46] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=&page=1&perPage=10&$$id=0b4fc85e9048 , status:401 , tc:0ms
[2024-04-16 00:29:52] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 00:29:52] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-16 00:29:53] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 00:29:53] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-16 00:29:56] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=6&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 00:29:56] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=6&page=1&perPage=10 , status:200 , tc:13ms
